datapath,in_port,eth_src,eth_dst,ip_src,ip_dst,protocol,tcp_src,tcp_dst,packet_count,byte_count,duration_sec,duration_nsec,class_label
9,0,,,,,0,0,0,696,79480,671,473000000,0
3,0,,,,,0,0,0,723,83738,671,557000000,0
7,0,,,,,0,0,0,779,92454,671,504000000,0
2,0,,,,,0,0,0,1296,151628,671,570000000,1
5,0,,,,,0,0,0,776,92192,671,532000000,0
1,0,,,,,0,0,0,1361,154166,681,578000000,1
9,0,,,,,0,0,0,696,79480,681,474000000,0
2,0,,,,,0,0,0,1296,151628,681,570000000,1
7,0,,,,,0,0,0,779,92454,681,505000000,0
5,0,,,,,0,0,0,776,92192,681,533000000,0
10,0,,,,,0,0,0,760,88760,681,460000000,0
3,0,,,,,0,0,0,723,83738,681,562000000,0
10,0,,,,,0,0,0,760,88760,691,466000000,0
2,0,,,,,0,0,0,1296,151628,691,577000000,1
1,0,,,,,0,0,0,1361,154166,691,587000000,1
9,0,,,,,0,0,0,696,79480,691,484000000,0
5,0,,,,,0,0,0,776,92192,691,543000000,0
7,0,,,,,0,0,0,779,92454,691,514000000,0
3,0,,,,,0,0,0,723,83738,691,568000000,0
5,0,,,,,0,0,0,776,92192,701,543000000,0
2,0,,,,,0,0,0,1296,151628,701,581000000,1
10,0,,,,,0,0,0,760,88760,701,471000000,0
3,0,,,,,0,0,0,723,83738,701,573000000,0
1,0,,,,,0,0,0,1361,154166,701,592000000,1
7,0,,,,,0,0,0,779,92454,701,519000000,0
9,0,,,,,0,0,0,696,79480,701,489000000,0
1,0,,,,,0,0,0,1364,154292,711,594000000,1
3,0,,,,,0,0,0,723,83738,711,574000000,0
7,0,,,,,0,0,0,779,92454,711,520000000,0
2,0,,,,,0,0,0,1296,151628,711,586000000,1
9,0,,,,,0,0,0,696,79480,711,490000000,0
10,0,,,,,0,0,0,760,88760,711,476000000,0
